Entity,Code,Year,Average in 2015,Population (historical),Continent,Average before 2000,Year
French Polynesia,PYF,2015,,277878,Oceania,,
French Southern Territories,ATF,2015,,,Antarctica,,
Gabon,GAB,2015,,2040990,Africa,,
Gambia,GMB,2015,,2224532,Africa,,
Georgia,GEO,2015,459.68,3791571,Asia,,
Germany,DEU,2015,524.26,82077546,Europe,491.27,1985
Ghana,GHA,2015,,28696071,Africa,,
Gibraltar,GIB,2015,,33213,Europe,,
Greece,GRC,2015,477.87,10820901,Europe,427.36,1990
Greenland,GRL,2015,,56048,North America,,
Grenada,GRD,2015,,114691,North America,,
Guadeloupe,GLP,2015,,403951,North America,,
Guam,GUM,2015,,164914,Oceania,,
Guatemala,GTM,2015,389.02,15971745,North America,,
Guernsey,GGY,2015,,62259,Europe,,
Guinea,GIN,2015,,11767077,Africa,,
Guinea-Bissau,GNB,2015,,1786461,Africa,,
Guyana,GUY,2015,,758785,South America,,
Haiti,HTI,2015,,10523249,North America,,
Hanover,OWID_HAN,2015,,,Europe,,
Heard Island and McDonald Islands,HMD,2015,,,Antarctica,,
Hesse Electoral,OWID_HSE,2015,,,Europe,,
Hesse Grand Ducal,OWID_HSG,2015,,,Europe,,
High-income countries,,2015,,1214694337,,,
Honduras,HND,2015,,9237305,North America,339.45,1995
Hong Kong,HKG,2015,605.4,7366411,Asia,505.88,1985
Hungary,HUN,2015,522.5,9839210,Europe,542.37,1985
Iceland,ISL,2015,511.8,330962,Europe,420.17,1990
India,IND,2015,,1328024492,Asia,,
Indonesia,IDN,2015,396.71,261799249,Asia,,
Iran,IRN,2015,433.92,82619365,Asia,381.91,1985
Iraq,IRQ,2015,,37560535,Asia,,
Ireland,IRL,2015,535.42,4702497,Europe,478.59,1990
Isle of Man,IMN,2015,,83612,Europe,,
Israel,ISR,2015,514.24,8052915,Asia,492.7,1990
Italy,ITA,2015,500.75,60575314,Europe,458.84,1985
Jamaica,JAM,2015,,2802535,North America,,
Japan,JPN,2015,590.89,127275868,Asia,565.04,1985
Jersey,JEY,2015,,101223,Europe,,
Jordan,JOR,2015,387.01,9544730,Asia,315.31,1990
Kazakhstan,KAZ,2015,536.11,18084173,Asia,,
Kenya,KEN,2015,,47088527,Africa,387.16,1995
Kiribati,KIR,2015,,116826,Oceania,,
Korea (former),OWID_KRU,2015,,,Asia,,
Kosovo,OWID_KOS,2015,,1779020,Europe,,
Kuwait,KWT,2015,372.3,3834464,Asia,,
Kyrgyzstan,KGZ,2015,,6001876,Asia,,
Laos,LAO,2015,,6801650,Asia,,
Latin America and the Caribbean (UN),,2015,,620042604,,,
Latvia,LVA,2015,508.22,1977874,Europe,147.23,1990
Lebanon,LBN,2015,454.42,6472470,Asia,,
Lesotho,LSO,2015,,2104613,Africa,,
Liberia,LBR,2015,,4659438,Africa,,
Libya,LBY,2015,,6531825,Africa,,
Liechtenstein,LIE,2015,,37424,Europe,,
Lithuania,LTU,2015,523.24,2905772,Europe,462.74,1995
Low-income countries,,2015,,592175476,,,
Lower-middle-income countries,,2015,,2931203604,,,
Luxembourg,LUX,2015,508.88,569541,Europe,439.85,1985
Macao,MAC,2015,561.9,622186,Asia,,
Madagascar,MDG,2015,,25426704,Africa,408.41,1995
Malawi,MWI,2015,,17085585,Africa,356.68,1995
Malaysia,MYS,2015,474.05,31232796,Asia,,
Maldives,MDV,2015,,428165,Asia,,
Mali,MLI,2015,,18593022,Africa,,
Malta,MLT,2015,498,444979,Europe,,
Marshall Islands,MHL,2015,,48822,Oceania,,
Martinique,MTQ,2015,,383738,North America,,
Mauritania,MRT,2015,,3965959,Africa,,
Mauritius,MUS,2015,,1292282,Africa,416.54,1995
Mayotte,MYT,2015,,245594,Africa,,
Mecklenburg Schwerin,OWID_MEC,2015,,,Europe,,
Mexico,MEX,2015,443.36,121072310,North America,363.22,1995
Mexico (Nuevo Leo),,2015,472.38,,,,
Micronesia (country),FSM,2015,,108727,Oceania,,
Modena,OWID_MOD,2015,,,Europe,,
Moldova,MDA,2015,443.29,3287169,Europe,,
Monaco,MCO,2015,,36785,Europe,,
Mongolia,MNG,2015,,2976528,Asia,,
Montenegro,MNE,2015,441.38,628147,Europe,,
Montserrat,MSR,2015,,4693,North America,,
Morocco,MAR,2015,380.75,34607590,Africa,,
Mozambique,MOZ,2015,,26547575,Africa,219.3,1990
Myanmar,MMR,2015,,51089060,Asia,,
Nagorno-Karabakh,OWID_NAG,2015,,,Asia,,
Namibia,NAM,2015,,2374305,Africa,350.27,1995
Nauru,NRU,2015,,10974,Oceania,,
Nepal,NPL,2015,,27823631,Asia,,
Netherlands,NLD,2015,530.27,17107427,Europe,475.33,1985
Netherlands Antilles,ANT,2015,,,North America,,
New Caledonia,NCL,2015,,283177,Oceania,,
New Zealand,NZL,2015,492.69,4614037,Oceania,459.92,1985
Nicaragua,NIC,2015,365.66,6149418,North America,,
Niger,NER,2015,,19939497,Africa,,
Nigeria,NGA,2015,,190671883,Africa,485.35,1980
Niue,NIU,2015,,1803,Oceania,,
Norfolk Island,NFK,2015,,,Oceania,,
North America,,2015,,572637311,,,
North Korea,PRK,2015,,25575355,Asia,,
North Macedonia,MKD,2015,389,1980366,Europe,,
Northern America (UN),,2015,,362214162,,,
Northern Cyprus,OWID_CYN,2015,,,Asia,,
Northern Ireland,,2015,564.28,,,,
Northern Mariana Islands,MNP,2015,,51538,Oceania,,
Norway,NOR,2015,530.48,5189776,Europe,,
Oceania,,2015,,40615011,,,
Oceania (UN),,2015,,40614680,,,
Oman,OMN,2015,414.85,4184897,Asia,360.9,1995
Pakistan,PAK,2015,,217290885,Asia,,
Palau,PLW,2015,,17791,Oceania,,
Palestine,PSE,2015,,4521566,Asia,,
Panama,PAN,2015,368.96,3960036,North America,,
Papua New Guinea,PNG,2015,,8743247,Oceania,,
Paraguay,PRY,2015,366.83,6159106,South America,353.29,1995
Parma,OWID_PMA,2015,,,Europe,,
Peru,PER,2015,419.49,30457600,South America,342.03,1995
Philippines,PHL,2015,,105312986,Asia,,
Pitcairn,PCN,2015,,,Oceania,,
Poland,POL,2015,528.84,38266314,Europe,,
Portugal,PRT,2015,525.21,10370266,Europe,396.81,1990
Puerto Rico,PRI,2015,396.29,3521810,North America,,
Qatar,QAT,2015,438.9,2427337,Asia,,
Republic of Vietnam,OWID_RVN,2015,,,Asia,,
Reunion,REU,2015,,865016,Africa,,
Romania,ROU,2015,469.42,19871018,Europe,463.31,1995
Russia,RUS,2015,551.63,145307611,Europe,551.76,1990
Rwanda,RWA,2015,,11640027,Africa,,
Saint Barthelemy,BLM,2015,,9617,North America,,
Saint Helena,SHN,2015,,5529,Africa,,
Saint Kitts and Nevis,KNA,2015,,47108,North America,,
Saint Lucia,LCA,2015,,174919,North America,,
Saint Martin (French part),MAF,2015,,37384,North America,,
Saint Pierre and Miquelon,SPM,2015,,5971,North America,,
Saint Vincent and the Grenadines,VCT,2015,,106975,North America,,
Samoa,WSM,2015,,201794,Oceania,,
San Marino,SMR,2015,,33926,Europe,,
Sao Tome and Principe,STP,2015,,200306,Africa,,
Saudi Arabia,SAU,2015,375.6,29974944,Asia,,
Saxony,OWID_SAX,2015,,,Europe,,
Senegal,SEN,2015,,14593336,Africa,256.29,1995
Serbia,SRB,2015,512.22,7177257,Europe,,
Serbia and Montenegro,OWID_SRM,2015,,,Europe,,
Serbia excluding Kosovo,OWID_SEK,2015,,,Europe,,
Seychelles,SYC,2015,,107247,Africa,,
Sierra Leone,SLE,2015,,7037659,Africa,,
Singapore,SGP,2015,619.17,5525343,Asia,497.46,1985
Sint Maarten (Dutch part),SXM,2015,,37488,North America,,
Slovakia,SVK,2015,495.32,5420279,Europe,524.26,1995
Slovenia,SVN,2015,518.04,2059947,Europe,458.32,1990
Solomon Islands,SLB,2015,,639423,Oceania,,
Somalia,SOM,2015,,13806969,Africa,,
Somaliland,OWID_SML,2015,,,Africa,,
South Africa,ZAF,2015,374.06,56723537,Africa,349.88,1995
South America,,2015,,409619968,,,
South America (excl. Brazil),,2015,,208449440,,,
South Georgia and the South Sandwich Islands,SGS,2015,,,South America,,
South Korea,KOR,2015,607.23,50983908,Asia,519.99,1985
South Ossetia,OWID_SOS,2015,,,Asia,,
South Sudan,SSD,2015,,11107569,Africa,,
Spain,ESP,2015,504.83,46683683,Europe,495.49,1990
Spain (regions),,2015,510.09,,,,
Sri Lanka,LKA,2015,,21729974,Asia,,
Sudan,SDN,2015,,40024436,Africa,,
Suriname,SUR,2015,,581633,South America,,
Svalbard and Jan Mayen,SJM,2015,,2400,Europe,,
Sweden,SWE,2015,509.15,9799482,Europe,470.88,1985
Switzerland,CHE,2015,543.83,8283940,Europe,556.52,1990
Syria,SYR,2015,,19424615,Asia,,
Taiwan,TWN,2015,597.75,23529259,Asia,571.59,1990
Tajikistan,TJK,2015,,8643839,Asia,,
Tanzania,TZA,2015,,52020959,Africa,,
Thailand,THA,2015,440.25,70540790,Asia,472.73,1985
Togo,TGO,2015,,7663199,Africa,,
Tokelau,TKL,2015,,1719,Oceania,,
Tonga,TON,2015,,106111,Oceania,,
Transnistria,OWID_TRS,2015,,,Europe,,
Trinidad and Tobago,TTO,2015,438.75,1429189,North America,,
Tunisia,TUN,2015,384.12,11402270,Africa,,
Turkey,TUR,2015,470.39,80014221,Asia,,
Turkmenistan,TKM,2015,,6215775,Asia,,
Turks and Caicos Islands,TCA,2015,,36632,North America,,
Tuscany,OWID_TUS,2015,,,Europe,,
Tuvalu,TUV,2015,,10984,Oceania,,
Two Sicilies,OWID_SIC,2015,,,Europe,,
USSR,OWID_USS,2015,,,Europe,,
Uganda,UGA,2015,,37531444,Africa,,
Ukraine,UKR,2015,,45784903,Europe,,
United Arab Emirates,ARE,2015,460.49,8674629,Asia,,
United Arab Emirates (Abu Dhabi),,2015,437.07,,,,
United Arab Emirates (Dubai),,2015,510.09,,,,
United Kingdom,GBR,2015,515.8,65382107,Europe,511,1990
United States,USA,2015,529.09,326126498,North America,477.74,1985
United States (Massachusetts),,2015,522.62,,,,
United States (North Carolina),,2015,495.27,,,,
United States Minor Outlying Islands,UMI,2015,,,Oceania,,
United States Virgin Islands,VIR,2015,,100250,North America,,
Upper-middle-income countries,,2015,,2729749191,,,
Uruguay,URY,2015,445.45,3368022,South America,,
Uzbekistan,UZB,2015,,30749349,Asia,,
Vanuatu,VUT,2015,,266116,Oceania,,
Vatican,VAT,2015,,579,Europe,,
Venezuela,VEN,2015,,30573970,South America,331.43,1995
Vietnam,VNM,2015,520.04,92823254,Asia,,
Wallis and Futuna,WLF,2015,,12185,Oceania,,
West Germany,OWID_GFR,2015,,,Europe,,
Western Sahara,ESH,2015,,486230,Africa,,
World,OWID_WRL,2015,,7470491904,,,
Wuerttemburg,OWID_WRT,2015,,,Europe,,
Yemen,YEM,2015,,31159379,Asia,,
Yemen Arab Republic,OWID_YAR,2015,,,Asia,,
Yemen People's Republic,OWID_YPR,2015,,,Asia,,
Yugoslavia,OWID_YGS,2015,,,Europe,,
Zambia,ZMB,2015,,16399090,Africa,355.24,1995
Zanzibar,OWID_ZAN,2015,,,Africa,347.7,1995
Zimbabwe,ZWE,2015,,14399009,Africa,,
